update_step,global_step,train_loss, val_loss,lr,tokens_seen,training_time,wall_clock_time
200,200,7.59375000,7.59375000,0.0008,19980956,28.400143,32.792669
400,400,5.46875000,5.46875000,0.0016,39979236,56.512019,61.268731
600,600,4.68750000,4.68750000,0.0024,59970332,84.712550,89.818370
800,800,4.34375000,4.34375000,0.0032,79911940,112.818352,118.283559
1000,1000,4.12500000,4.12500000,0.004,99951716,140.925028,158.594298
1200,1200,4.00000000,4.00000000,0.0048,119975664,169.033052,187.063983
1400,1400,3.90625000,3.90625000,0.0056,139972164,197.135116,215.521331
1600,1600,3.85937500,3.85937500,0.0064,159990940,225.237473,243.987385
1800,1800,3.79687500,3.79687500,0.0072,180003668,253.369989,272.465536
2000,2000,3.76562500,3.76041681,0.008,200032256,281.519898,311.935119
2200,2200,3.70312500,3.76041681,0.007997806977,219913492,309.655300,340.421431
2400,2400,3.70312500,3.76041681,0.007991230581,239873460,337.806095,368.919076
2600,2600,3.65625000,3.76041681,0.007980278823,259870480,365.953234,397.418452
2800,2800,3.59375000,3.76041681,0.007964965047,279923036,394.112807,425.937538
3000,3000,3.51562500,3.57755065,0.007945307911,299894740,422.268572,465.681205
200,200,7.75000000,7.75000000,0.0008,19980956,28.825230,32.818979
400,400,5.59375000,5.59375000,0.0016,39979236,56.873649,61.149990
600,600,4.84375000,4.84375000,0.0024,59970332,84.930989,89.490567
800,800,4.50000000,4.50000000,0.0032,79911940,112.979649,117.820720
1000,1000,4.25000000,4.25000000,0.004,99951716,141.024837,157.284106
1200,1200,4.06250000,4.06250000,0.0048,119975664,169.080369,185.622693
1400,1400,3.95312500,3.95312500,0.0056,139972164,197.140240,213.967978
1600,1600,3.89062500,3.89062500,0.0064,159990940,225.205606,242.317678
1800,1800,3.81250000,3.81250000,0.0072,180003668,253.262915,270.658381
2000,2000,3.79687500,3.77091008,0.008,200032256,281.319806,309.902582
2200,2200,3.71875000,3.77091008,0.007997806977,219913492,309.381293,338.247635
2400,2400,3.71875000,3.77091008,0.007991230581,239873460,337.445075,366.594401
2600,2600,3.67187500,3.77091008,0.007980278823,259870480,365.501832,394.932081
2800,2800,3.59375000,3.77091008,0.007964965047,279923036,393.568144,423.282405
3000,3000,3.53125000,3.58249092,0.007945307911,299894740,421.624358,462.703863
3200,3200,3.50000000,3.58249092,0.007921331363,319959244,449.685945,491.045932
3400,3400,3.54687500,3.58249092,0.007893064615,339876016,477.761165,519.401550
3600,3600,3.53125000,3.58249092,0.007860542105,359911800,505.840488,547.766813
3800,3800,3.50000000,3.58249092,0.007823803459,379877784,533.908804,576.119842
4000,4000,3.59375000,3.47648603,0.007782893435,399897756,561.989826,615.782315
4200,4200,3.51562500,3.47648603,0.007737861876,419881488,590.054945,644.127877
4400,4400,3.51562500,3.47648603,0.007688763648,439883532,618.122846,672.474753
4600,4600,3.50000000,3.47648603,0.007635658567,459758988,646.196164,700.826737
4800,4800,3.34375000,3.47648603,0.007578611334,479823924,674.263107,729.176131
5000,5000,3.45312500,3.41532642,0.007517691454,499780720,702.333556,768.460598
5200,5200,3.43750000,3.41532642,0.007452973146,519756120,730.402556,796.807187
5400,5400,3.50000000,3.41532642,0.007384535261,539671756,758.462072,825.146182
5600,5600,3.45312500,3.41532642,0.00731246118,559679312,786.540677,853.504948
5800,5800,3.51562500,3.41532642,0.007236838713,579677788,814.614097,881.863852
6000,6000,3.43750000,3.36757064,0.007157759995,599807828,842.677314,921.112021
6200,6200,3.37500000,3.36757064,0.007075321372,619794140,870.751591,949.466071
6400,6400,3.51562500,3.36757064,0.006989623281,639773428,898.825017,977.825066
6600,6600,3.37500000,3.36757064,0.006900770134,659841992,926.897642,1006.177021
6800,6800,3.35937500,3.36757064,0.006808870183,679862852,954.965291,1034.525222
7000,7000,3.40625000,3.33099735,0.006714035395,699920844,983.050655,1073.944162
7200,7200,3.35937500,3.33099735,0.006616381311,719968296,1011.121332,1102.302347
7400,7400,3.43750000,3.33099735,0.006516026908,740029356,1039.195175,1130.661472
7600,7600,3.21875000,3.33099735,0.006413094452,759996236,1067.272296,1159.023246
7800,7800,3.37500000,3.33099735,0.006307709351,779941296,1095.349386,1187.381670
8000,8000,3.37500000,3.29924953,0.0062,799847448,1123.424571,1227.186265
8200,8200,3.29687500,3.29924953,0.006090097626,819827020,1151.507906,1255.552032
8400,8400,3.31250000,3.29924953,0.005978136128,839869548,1179.605456,1283.931178
8600,8600,3.45312500,3.29924953,0.005864251915,859806840,1207.711093,1312.315971
8800,8800,3.28125000,3.29924953,0.005748583736,879800052,1235.802995,1340.689397
9000,9000,3.28125000,3.26524210,0.005631272516,899800204,1263.932713,1380.077536
9200,9200,3.32812500,3.26524210,0.00551246118,919762096,1292.029622,1408.461920
9400,9400,3.39062500,3.26524210,0.005392294481,939753460,1320.112239,1436.824861
9600,9600,3.26562500,3.26524210,0.005270918824,959745664,1348.188424,1465.185769
9800,9800,3.23437500,3.26524210,0.005148482087,979740648,1376.277080,1493.552280
10000,10000,3.28125000,3.23808992,0.00502513344,999660280,1404.363272,1532.887291
10200,10200,3.32812500,3.23808992,0.004901023163,1019746324,1432.463710,1561.272856
10400,10400,3.28125000,3.23808992,0.004776302468,1039664992,1460.555588,1589.657080
10600,10600,3.28125000,3.23808992,0.004651123305,1059550488,1488.637551,1618.021270
10800,10800,3.29687500,3.23808992,0.004525638188,1079559984,1516.751590,1646.420169
11000,11000,3.21875000,3.21323538,0.0044,1099493036,1544.836638,1685.723754
11200,11200,3.28125000,3.21323538,0.004274361812,1119583576,1572.945260,1714.124407
11400,11400,3.28125000,3.21323538,0.004148876695,1139610896,1601.033002,1742.491746
11600,11600,3.20312500,3.21323538,0.004023697532,1159608288,1629.124806,1770.865186
11800,11800,3.25000000,3.21323538,0.003898976837,1179655044,1657.243165,1799.263299
12000,12000,3.14062500,3.18723202,0.00377486656,1199675496,1685.345579,1838.994897
12200,12200,3.18750000,3.18723202,0.003651517913,1219753688,1713.452676,1867.385201
12400,12400,3.14062500,3.18723202,0.003529081176,1239700824,1741.553410,1895.768751
12600,12600,3.28125000,3.18723202,0.003407705519,1259765700,1769.654774,1924.148887
12800,12800,3.06250000,3.18723202,0.00328753882,1279777696,1797.763018,1952.543347
13000,13000,3.18750000,3.16727948,0.003168727484,1299773908,1825.873465,1992.054460
13200,13200,3.07812500,3.16727948,0.003051416264,1319782724,1853.968721,2020.430744
13400,13400,3.15625000,3.16727948,0.002935748085,1339752424,1882.068728,2048.812052
13600,13600,3.25000000,3.16727948,0.002821863872,1359776556,1910.150792,2077.174171
13800,13800,3.23437500,3.16727948,0.002709902374,1379870292,1938.249356,2105.553050
14000,14000,3.14062500,3.15226728,0.0026,1399873480,1966.333412,2144.906118
14200,14200,3.14062500,3.15226728,0.002492290649,1419846104,1994.430552,2173.283884
14400,14400,3.26562500,3.15226728,0.002386905548,1439899688,2022.534724,2201.670646
14600,14600,3.10937500,3.15226728,0.002283973092,1459998396,2050.627135,2230.042511
14800,14800,3.20312500,3.15226728,0.002183618689,1480028716,2078.716107,2258.410843
15000,15000,3.18750000,3.14173573,0.002085964605,1500064912,2106.803887,2297.912848
15200,15200,3.10937500,3.14173573,0.001991129817,1520040052,2134.901929,2326.288187
15400,15400,3.03125000,3.14173573,0.001899229866,1540020816,2162.986343,2354.663965
15600,15600,3.14062500,3.14173573,0.001810376719,1559997292,2191.086244,2383.047745
15800,15800,3.23437500,3.14173573,0.001724678628,1580083336,2219.163968,2411.410353
16000,16000,3.00000000,3.13250625,0.001642240005,1600097860,2247.266485,2450.806844
16200,16200,3.15625000,3.13250625,0.001563161287,1620139880,2275.363415,2479.185166
16400,16400,3.18750000,3.13250625,0.00148753882,1640162200,2303.479808,2507.585063
16600,16600,3.20312500,3.13250625,0.001415464739,1660316480,2331.586319,2535.971236
16800,16800,3.18750000,3.13250625,0.001347026854,1680306652,2359.678671,2564.343619
17000,17000,3.10937500,3.12764257,0.001282308546,1700242004,2387.761918,2603.680938
17200,17200,3.12500000,3.12764257,0.001221388666,1720166204,2415.897321,2632.108643
17400,17400,3.20312500,3.12764257,0.001164341433,1740246992,2444.020050,2660.518901
17600,17600,3.26562500,3.12764257,0.001111236352,1760143812,2472.132774,2688.916085
17800,17800,3.29687500,3.12764257,0.001062138124,1780139128,2500.243212,2717.305106
18000,18000,3.29687500,3.12496179,0.001017106565,1800136548,2528.377520,2756.719594
18200,18200,3.18750000,3.12496179,0.0009761965413,1820023348,2556.484362,2785.108154
18400,18400,3.18750000,3.12496179,0.0009394578946,1840133108,2584.565773,2813.469121
18600,18600,3.15625000,3.12496179,0.0009069353854,1860150560,2612.669290,2841.851172
18800,18800,3.09375000,3.12496179,0.0008786686374,1880118424,2640.803871,2870.269117
19000,19000,3.15625000,3.12289375,0.0008546920892,1900107952,2668.926435,2909.617706
19200,19200,3.12500000,3.12289375,0.0008350349525,1920115372,2697.079873,2938.061953
19400,19400,3.17187500,3.12289375,0.0008197211767,1940139892,2725.206584,2966.468875
19600,19600,3.04687500,3.12289375,0.0008087694191,1960108064,2753.319567,2994.861469
19800,19800,3.17187500,3.12289375,0.0008021930227,1980167432,2781.434473,3023.257537
20000,20000,3.14062500,3.12201291,8e-10,2000195624,2809.580918,3062.826128
