update_step,global_step,train_loss, val_loss,lr,tokens_seen,training_time,wall_clock_time
200,200,7.21875000,7.21875000,0.0001,19980956,24.870213,30.759392
400,400,6.28125000,6.28125000,0.0002,39979236,49.385401,57.505021
600,600,5.43750000,5.43750000,0.0003,59970332,73.913213,84.260123
800,800,5.03125000,5.03125000,0.0004,79911940,98.438925,111.011461
1000,1000,4.65625000,4.65625000,0.0005,99951716,122.963298,149.188394
1200,1200,4.34375000,4.34375000,0.0006,119975664,147.485946,175.939328
1400,1400,4.18750000,4.18750000,0.0007,139972164,172.008613,202.685255
1600,1600,4.09375000,4.09375000,0.0008,159990940,196.530335,229.435849
1800,1800,3.95312500,3.95312500,0.0009,180003668,221.052420,256.182412
2000,2000,3.89062500,3.88537848,0.001,200032256,245.579677,293.759459
2200,2200,3.82812500,3.88537848,0.0009997258722,219913492,270.097317,320.506988
2400,2400,3.81250000,3.88537848,0.0009989038226,239873460,294.615069,347.248776
200,200,7.21875000,7.21875000,0.0001,19980956,26.182731,34.533143
400,400,6.28125000,6.28125000,0.0002,39979236,51.291324,63.432306
600,600,5.43750000,5.43750000,0.0003,59970332,76.390549,92.281337
800,800,5.03125000,5.03125000,0.0004,79911940,101.528131,120.688056
1000,1000,4.65625000,4.65625000,0.0005,99951716,126.639185,167.073948
1200,1200,4.34375000,4.34375000,0.0006,119975664,151.707646,195.231246
1400,1400,4.18750000,4.18750000,0.0007,139972164,176.714948,223.307521
1600,1600,4.09375000,4.09375000,0.0008,159990940,201.787812,251.310260
1800,1800,3.95312500,3.95312500,0.0009,180003668,226.845584,279.354891
2000,2000,3.89062500,3.88537848,0.001,200032256,252.004382,325.306691
2200,2200,3.82812500,3.88537848,0.0009997258722,219913492,277.054772,353.374063
2400,2400,3.81250000,3.88537848,0.0009989038226,239873460,302.111847,381.610839
2600,2600,3.76562500,3.88537848,0.0009975348529,259870480,327.161002,409.663265
2800,2800,3.68750000,3.88537848,0.0009956206309,279923036,352.157825,437.665958
3000,3000,3.60937500,3.66341162,0.0009931634889,299894740,377.176733,483.908979
3200,3200,3.57812500,3.66341162,0.0009901664203,319959244,402.214376,512.133482
3400,3400,3.62500000,3.66341162,0.0009866330768,339876016,427.258001,540.351356
3600,3600,3.60937500,3.66341162,0.0009825677632,359911800,452.390183,568.595610
3800,3800,3.57812500,3.66341162,0.0009779754323,379877784,477.521754,596.822281
4000,4000,3.67187500,3.55522382,0.0009728616794,399897756,502.638766,642.835454
4200,4200,3.59375000,3.55522382,0.0009672327346,419881488,527.674654,670.984386
4400,4400,3.59375000,3.55522382,0.0009610954559,439883532,552.727032,699.146405
4600,4600,3.56250000,3.55522382,0.0009544573208,459758988,577.755943,727.166649
4800,4800,3.42187500,3.55522382,0.0009473264168,479823924,602.835449,755.296267
5000,5000,3.51562500,3.48682606,0.0009397114317,499780720,627.873288,800.980501
5200,5200,3.50000000,3.48682606,0.0009316216433,519756120,653.022626,829.268334
5400,5400,3.56250000,3.48682606,0.0009230669076,539671756,678.107711,857.484735
5600,5600,3.51562500,3.48682606,0.0009140576475,559679312,703.146465,885.524515
5800,5800,3.57812500,3.48682606,0.0009046048391,579677788,728.225279,913.782596
6000,6000,3.48437500,3.43420655,0.0008947199994,599807828,753.203734,959.210569
6200,6200,3.43750000,3.43420655,0.0008844151715,619794140,778.221926,987.335726
6400,6400,3.56250000,3.43420655,0.0008737029102,639773428,803.280387,1015.527902
6600,6600,3.43750000,3.43420655,0.0008625962667,659841992,828.361473,1043.627609
6800,6800,3.43750000,3.43420655,0.0008511087729,679862852,853.484988,1071.877208
7000,7000,3.46875000,3.39162087,0.0008392544244,699920844,878.626615,1117.891949
7200,7200,3.42187500,3.39162087,0.0008270476639,719968296,903.668192,1146.057604
7400,7400,3.50000000,3.39162087,0.0008145033635,740029356,928.669924,1174.273888
7600,7600,3.28125000,3.39162087,0.0008016368066,759996236,953.689548,1202.755374
7800,7800,3.45312500,3.39162087,0.0007884636689,779941296,978.783338,1230.992043
8000,8000,3.43750000,3.35834116,0.000775,799847448,1003.796925,1275.868281
8200,8200,3.35937500,3.35834116,0.0007612622033,819827020,1028.840383,1304.123275
8400,8400,3.40625000,3.35834116,0.0007472670161,839869548,1053.971060,1332.276252
8600,8600,3.51562500,3.35834116,0.0007330314894,859806840,1079.036757,1360.397918
8800,8800,3.35937500,3.35834116,0.000718572967,879800052,1104.125661,1388.549551
9000,9000,3.34375000,3.32846987,0.0007039090645,899800204,1129.219000,1435.137550
9200,9200,3.39062500,3.32846987,0.0006890576475,919762096,1154.352675,1463.378736
9400,9400,3.45312500,3.32846987,0.0006740368101,939753460,1179.428542,1491.575997
9600,9600,3.32812500,3.32846987,0.000658864853,959745664,1204.508631,1519.738384
9800,9800,3.29687500,3.32846987,0.0006435602609,979740648,1229.571337,1548.003908
10000,10000,3.32812500,3.30193031,0.00062814168,999660280,1254.587974,1593.144230
10200,10200,3.37500000,3.30193031,0.0006126278954,1019746324,1279.606095,1621.297601
10400,10400,3.34375000,3.30193031,0.0005970378085,1039664992,1304.764780,1649.592043
10600,10600,3.35937500,3.30193031,0.0005813904132,1059550488,1329.850535,1677.734477
10800,10800,3.37500000,3.30193031,0.0005657047735,1079559984,1354.901937,1705.845376
11000,11000,3.29687500,3.27964169,0.00055,1099493036,1380.064297,1752.205841
11200,11200,3.35937500,3.27964169,0.0005342952265,1119583576,1405.139722,1780.420672
11400,11400,3.34375000,3.27964169,0.0005186095868,1139610896,1430.201292,1808.484529
11600,11600,3.26562500,3.27964169,0.0005029621915,1159608288,1455.304743,1836.787144
11800,11800,3.31250000,3.27964169,0.0004873721046,1179655044,1480.383605,1865.051866
12000,12000,3.21875000,3.25988060,0.00047185832,1199675496,1505.423429,1910.546574
12200,12200,3.26562500,3.25988060,0.0004564397391,1219753688,1530.512598,1938.697203
12400,12400,3.21875000,3.25988060,0.000441135147,1239700824,1555.594533,1966.949748
12600,12600,3.35937500,3.25988060,0.0004259631899,1259765700,1580.690590,1995.206391
12800,12800,3.17187500,3.25988060,0.0004109423525,1279777696,1605.777442,2023.344648
13000,13000,3.25000000,3.24253231,0.0003960909355,1299773908,1630.869338,2068.756017
13200,13200,3.15625000,3.24253231,0.000381427033,1319782724,1655.995077,2097.012480
13400,13400,3.23437500,3.24253231,0.0003669685106,1339752424,1681.059915,2125.262664
13600,13600,3.31250000,3.24253231,0.0003527329839,1359776556,1706.100952,2153.393075
13800,13800,3.32812500,3.24253231,0.0003387377967,1379870292,1731.130894,2181.485412
14000,14000,3.21875000,3.22874546,0.000325,1399873480,1756.231013,2227.298201
14200,14200,3.21875000,3.22874546,0.0003115363311,1419846104,1781.309922,2255.555425
14400,14400,3.34375000,3.22874546,0.0002983631934,1439899688,1806.436477,2283.720406
14600,14600,3.18750000,3.22874546,0.0002854966365,1459998396,1831.625429,2312.656780
14800,14800,3.28125000,3.22874546,0.0002729523361,1480028716,1856.666348,2341.027071
15000,15000,3.26562500,3.21901822,0.0002607455756,1500064912,1881.741246,2386.653697
15200,15200,3.18750000,3.21901822,0.0002488912271,1520040052,1906.930285,2414.941578
15400,15400,3.12500000,3.21901822,0.0002374037333,1540020816,1932.006406,2443.136294
15600,15600,3.21875000,3.21901822,0.0002262970898,1559997292,1957.051225,2471.255455
15800,15800,3.31250000,3.21901822,0.0002155848285,1580083336,1982.130773,2499.623755
16000,16000,3.09375000,3.21204823,0.0002052800006,1600097860,2007.214605,2546.344347
16200,16200,3.25000000,3.21204823,0.0001953951609,1620139880,2032.336085,2574.519218
16400,16400,3.26562500,3.21204823,0.0001859423525,1640162200,2057.413551,2602.702680
16600,16600,3.28125000,3.21204823,0.0001769330924,1660316480,2082.488423,2630.863185
16800,16800,3.26562500,3.21204823,0.0001683783567,1680306652,2107.595356,2659.104805
17000,17000,3.20312500,3.20756751,0.0001602885683,1700242004,2132.649211,2705.310254
17200,17200,3.20312500,3.20756751,0.0001526735832,1720166204,2157.749768,2733.586658
17400,17400,3.28125000,3.20756751,0.0001455426792,1740246992,2182.815604,2761.695420
17600,17600,3.34375000,3.20756751,0.0001389045441,1760143812,2207.873555,2789.824646
17800,17800,3.35937500,3.20756751,0.0001327672654,1780139128,2232.913726,2817.917985
18000,18000,3.37500000,3.20473355,0.0001271383206,1800136548,2257.989999,2863.658570
18200,18200,3.26562500,3.20473355,0.0001220245677,1820023348,2283.027523,2892.100405
18400,18400,3.28125000,3.20473355,0.0001174322368,1840133108,2308.088060,2920.197299
18600,18600,3.25000000,3.20473355,0.0001133669232,1860150560,2333.290109,2948.437692
18800,18800,3.17187500,3.20473355,0.0001098335797,1880118424,2358.359379,2976.576557
19000,19000,3.26562500,3.20301020,0.0001068365111,1900107952,2383.449064,3021.922178
19200,19200,3.20312500,3.20301020,0.0001043793691,1920115372,2408.493561,3050.035376
19400,19400,3.25000000,3.20301020,0.0001024651471,1940139892,2433.618375,3078.385006
19600,19600,3.14062500,3.20301020,0.0001010961774,1960108064,2458.698232,3106.499396
19800,19800,3.25000000,3.20301020,0.0001002741278,1980167432,2483.709306,3134.651736
200,200,8.75000000,8.75000000,2e-05,19980956,25.179214,31.117850
400,400,7.43750000,7.43750000,4e-05,39979236,49.667088,57.834026
600,600,7.06250000,7.06250000,6e-05,59970332,74.153892,84.546009
800,800,6.53125000,6.53125000,8e-05,79911940,98.650707,111.271267
1000,1000,6.46875000,6.46875000,0.0001,99951716,123.154369,149.363346
