update_step,global_step,train_loss, val_loss,lr,tokens_seen,training_time,wall_clock_time
200,200,6.37500000,6.37500000,0.0003,19980956,24.822144,30.629895
400,400,5.31250000,5.31250000,0.0006,39979236,49.291633,57.292182
600,600,4.68750000,4.68750000,0.0009,59970332,73.765392,83.969678
800,800,4.34375000,4.34375000,0.0012,79911940,98.238144,110.640514
1000,1000,4.18750000,4.18750000,0.0015,99951716,122.711204,148.949340
1200,1200,4.03125000,4.03125000,0.0018,119975664,147.217592,175.682396
1400,1400,3.96875000,3.96875000,0.0021,139972164,171.698858,202.358805
1600,1600,3.93750000,3.93750000,0.0024,159990940,196.177872,229.030333
1800,1800,3.87500000,3.87500000,0.0027,180003668,220.656763,255.705339
2000,2000,3.89062500,3.88013190,0.003,200032256,245.138137,293.702428
2200,2200,3.90625000,3.88013190,0.002999177616,219913492,269.627041,320.393650
2400,2400,3.89062500,3.88013190,0.002996711468,239873460,294.114615,347.075888
2600,2600,3.82812500,3.88013190,0.002992604559,259870480,318.601551,373.763619
2800,2800,3.73437500,3.88013190,0.002986861893,279923036,343.086855,400.447208
3000,3000,3.65625000,3.71178019,0.002979490467,299894740,367.572086,438.525151
3200,3200,3.60937500,3.71178019,0.002970499261,319959244,392.052722,465.205897
3400,3400,3.65625000,3.71178019,0.00295989923,339876016,416.535560,491.884744
3600,3600,3.64062500,3.71178019,0.00294770329,359911800,441.023655,518.568031
3800,3800,3.60937500,3.71178019,0.002933926297,379877784,465.508240,545.249597
4000,4000,3.70312500,3.58482713,0.002918585038,399897756,489.994088,583.488589
4200,4200,3.64062500,3.58482713,0.002901698204,419881488,514.482599,610.175091
4400,4400,3.62500000,3.58482713,0.002883286368,439883532,538.973048,636.860970
4600,4600,3.59375000,3.58482713,0.002863371963,459758988,563.459193,663.545962
4800,4800,3.45312500,3.58482713,0.00284197925,479823924,587.951474,690.237455
5000,5000,3.54687500,3.51367199,0.002819134295,499780720,612.443174,728.131124
5200,5200,3.53125000,3.51367199,0.00279486493,519756120,636.933000,754.818560
5400,5400,3.59375000,3.51367199,0.002769200723,539671756,661.420349,781.504064
5600,5600,3.54687500,3.51367199,0.002742172942,559679312,685.921609,808.203861
5800,5800,3.60937500,3.51367199,0.002713814517,579677788,710.420883,834.901448
6000,6000,3.51562500,3.45948237,0.002684159998,599807828,734.921113,872.681726
6200,6200,3.46875000,3.45948237,0.002653245514,619794140,759.416913,899.368586
6400,6400,3.59375000,3.45948237,0.00262110873,639773428,783.916131,926.060744
6600,6600,3.45312500,3.45948237,0.0025877888,659841992,808.415859,952.753394
6800,6800,3.45312500,3.45948237,0.002553326319,679862852,832.906786,979.436009
7000,7000,3.50000000,3.41597748,0.002517763273,699920844,857.391475,1017.291410
7200,7200,3.43750000,3.41597748,0.002481142992,719968296,881.881484,1043.989845
7400,7400,3.51562500,3.41597748,0.002443510091,740029356,906.369636,1070.680376
