update_step,global_step,train_loss, val_loss,lr,tokens_seen,training_time,wall_clock_time
200,200,7.28125000,7.28125000,8e-05,19980956,24.841896,30.717590
400,400,6.31250000,6.31250000,0.00016,39979236,49.317042,57.401927
600,600,5.62500000,5.62500000,0.00024,59970332,73.804540,84.104080
800,800,5.21875000,5.21875000,0.00032,79911940,98.295199,110.812930
1000,1000,4.84375000,4.84375000,0.0004,99951716,122.786554,148.628875
1200,1200,4.50000000,4.50000000,0.00048,119975664,147.281603,175.341277
1400,1400,4.31250000,4.31250000,0.00056,139972164,171.778095,202.053967
1600,1600,4.18750000,4.18750000,0.00064,159990940,196.280807,228.771614
1800,1800,4.03125000,4.03125000,0.00072,180003668,220.781376,255.485605
2000,2000,3.95312500,3.94898915,0.0008,200032256,245.287507,293.277694
2200,2200,3.90625000,3.94898915,0.00088,219913492,269.785958,319.991205
2400,2400,3.87500000,3.94898915,0.00096,239873460,294.287757,346.705127
2600,2600,3.82812500,3.94898915,0.00104,259870480,318.789845,373.418004
2800,2800,3.75000000,3.94898915,0.00112,279923036,343.292468,400.131134
3000,3000,3.68750000,3.73215395,0.0012,299894740,367.794679,438.140549
3200,3200,3.64062500,3.73215395,0.00128,319959244,392.295817,464.865004
3400,3400,3.68750000,3.73215395,0.00136,339876016,416.793935,491.574523
3600,3600,3.68750000,3.73215395,0.00144,359911800,441.296545,518.288492
3800,3800,3.65625000,3.73215395,0.00152,379877784,465.799602,545.005874
4000,4000,3.75000000,3.63235313,0.0016,399897756,490.303250,582.617690
4200,4200,3.68750000,3.63235313,0.00168,419881488,514.801890,609.326153
4400,4400,3.68750000,3.63235313,0.00176,439883532,539.305760,636.047639
4600,4600,3.65625000,3.63235313,0.00184,459758988,563.810724,662.763955
4800,4800,3.53125000,3.63235313,0.00192,479823924,588.316180,689.485496
5000,5000,3.60937500,3.58264410,0.002,499780720,612.819574,727.476299
5200,5200,3.59375000,3.58264410,0.00208,519756120,637.320220,754.200181
5400,5400,3.65625000,3.58264410,0.00216,539671756,661.825762,780.926806
5600,5600,3.60937500,3.58264410,0.00224,559679312,686.329947,807.643757
5800,5800,3.67187500,3.58264410,0.00232,579677788,710.828540,834.352522
6000,6000,3.56250000,3.50945938,0.0024,599807828,735.332557,872.195351
6200,6200,3.50000000,3.50945938,0.00248,619794140,759.836680,898.908980
6400,6400,3.62500000,3.50945938,0.00256,639773428,784.341002,925.626848
6600,6600,3.51562500,3.50945938,0.00264,659841992,808.845433,952.344127
6800,6800,3.50000000,3.50945938,0.00272,679862852,833.352595,979.071740
7000,7000,3.53125000,3.45124859,0.0028,699920844,857.857438,1017.258896
7200,7200,3.46875000,3.45124859,0.00288,719968296,882.356542,1043.972048
7400,7400,3.54687500,3.45124859,0.00296,740029356,906.855233,1070.683287
7600,7600,3.34375000,3.45124859,0.00304,759996236,931.350083,1097.388855
7800,7800,3.50000000,3.45124859,0.00312,779941296,955.847057,1124.098604
8000,8000,3.48437500,3.41264564,0.0032,799847448,980.345272,1161.952489
8200,8200,3.40625000,3.41264564,0.00328,819827020,1004.836597,1188.659047
8400,8400,3.45312500,3.41264564,0.00336,839869548,1029.330931,1215.370010
8600,8600,3.56250000,3.41264564,0.00344,859806840,1053.828001,1242.083248
8800,8800,3.39062500,3.41264564,0.00352,879800052,1078.323304,1268.791390
9000,9000,3.39062500,3.38116580,0.0036,899800204,1102.823339,1306.749880
9200,9200,3.43750000,3.38116580,0.00368,919762096,1127.316397,1333.458220
9400,9400,3.50000000,3.38116580,0.00376,939753460,1151.813171,1360.167325
9600,9600,3.39062500,3.38116580,0.00384,959745664,1176.310414,1386.878345
9800,9800,3.34375000,3.38116580,0.00392,979740648,1200.808815,1413.589204
10000,10000,3.39062500,3.35596675,0.004,999660280,1225.305283,1451.411484
10200,10200,3.42187500,3.35596675,0.003999990158,1019746324,1249.807313,1478.129565
10400,10400,3.39062500,3.35596675,0.003999960631,1039664992,1274.307253,1504.843336
10600,10600,3.40625000,3.35596675,0.00399991142,1059550488,1298.807728,1531.555040
10800,10800,3.40625000,3.35596675,0.003999842526,1079559984,1323.309227,1558.271322
11000,11000,3.32812500,3.32563585,0.003999753949,1099493036,1347.809820,1595.990721
11200,11200,3.39062500,3.32563585,0.00399964569,1119583576,1372.305645,1622.699500
11400,11400,3.39062500,3.32563585,0.003999517751,1139610896,1396.803045,1649.407862
11600,11600,3.29687500,3.32563585,0.003999370132,1159608288,1421.300362,1676.117099
11800,11800,3.35937500,3.32563585,0.003999202835,1179655044,1445.797554,1702.824987
12000,12000,3.26562500,3.30020696,0.003999015863,1199675496,1470.294902,1740.388494
12200,12200,3.31250000,3.30020696,0.003998809217,1219753688,1494.794535,1767.100038
12400,12400,3.25000000,3.30020696,0.0039985829,1239700824,1519.291467,1793.808383
12600,12600,3.39062500,3.30020696,0.003998336913,1259765700,1543.795105,1820.521614
12800,12800,3.18750000,3.30020696,0.003998071261,1279777696,1568.297624,1847.234918
13000,13000,3.29687500,3.28048420,0.003997785944,1299773908,1592.797837,1885.266992
13200,13200,3.20312500,3.28048420,0.003997480968,1319782724,1617.295577,1911.977692
13400,13400,3.28125000,3.28048420,0.003997156335,1339752424,1641.800876,1938.697491
13600,13600,3.35937500,3.28048420,0.003996812048,1359776556,1666.304842,1965.414495
13800,13800,3.35937500,3.28048420,0.003996448111,1379870292,1690.809164,1992.142512
14000,14000,3.25000000,3.26328897,0.003996064529,1399873480,1715.311021,2029.983978
14200,14200,3.25000000,3.26328897,0.003995661305,1419846104,1739.822915,2056.711326
14400,14400,3.37500000,3.26328897,0.003995238445,1439899688,1764.336511,2083.440830
14600,14600,3.21875000,3.26328897,0.003994795951,1459998396,1788.847498,2110.165764
14800,14800,3.31250000,3.26328897,0.003994333831,1480028716,1813.363283,2136.898841
15000,15000,3.29687500,3.24793214,0.003993852087,1500064912,1837.877007,2174.773810
15200,15200,3.21875000,3.24793214,0.003993350727,1520040052,1862.383916,2201.496112
15400,15400,3.14062500,3.24793214,0.003992829754,1540020816,1886.888128,2228.212081
15600,15600,3.23437500,3.24793214,0.003992289176,1559997292,1911.399419,2254.936589
15800,15800,3.32812500,3.24793214,0.003991728997,1580083336,1935.913465,2281.666307
16000,16000,3.10937500,3.23640484,0.003991149225,1600097860,1960.425470,2319.623058
16200,16200,3.26562500,3.23640484,0.003990549864,1620139880,1984.930908,2346.339380
16400,16400,3.28125000,3.23640484,0.003989930923,1640162200,2009.439807,2373.063936
16600,16600,3.29687500,3.23640484,0.003989292407,1660316480,2033.953485,2399.784640
16800,16800,3.28125000,3.23640484,0.003988634323,1680306652,2058.465599,2426.510092
17000,17000,3.21875000,3.22537541,0.003987956679,1700242004,2082.973562,2464.571394
17200,17200,3.21875000,3.22537541,0.003987259483,1720166204,2107.474521,2491.285401
17400,17400,3.28125000,3.22537541,0.003986542741,1740246992,2131.978589,2518.004713
17600,17600,3.35937500,3.22537541,0.003985806462,1760143812,2156.482804,2544.723598
17800,17800,3.37500000,3.22537541,0.003985050654,1780139128,2180.990630,2571.439957
18000,18000,3.39062500,3.21400136,0.003984275325,1800136548,2205.504465,2609.391000
18200,18200,3.26562500,3.21400136,0.003983480483,1820023348,2230.004221,2636.106047
18400,18400,3.28125000,3.21400136,0.003982666137,1840133108,2254.507550,2662.823516
18600,18600,3.23437500,3.21400136,0.003981832297,1860150560,2279.009484,2689.538545
18800,18800,3.17187500,3.21400136,0.00398097897,1880118424,2303.512500,2716.253669
19000,19000,3.26562500,3.20576757,0.003980106167,1900107952,2328.016855,2753.953520
19200,19200,3.21875000,3.20576757,0.003979213897,1920115372,2352.515881,2780.663498
19400,19400,3.25000000,3.20576757,0.00397830217,1940139892,2377.017291,2807.378871
19600,19600,3.14062500,3.20576757,0.003977370996,1960108064,2401.520093,2834.090117
19800,19800,3.25000000,3.20576757,0.003976420384,1980167432,2426.024481,2860.811181
20000,20000,3.23437500,3.19868279,0.003975450346,2000195624,2450.527965,2898.805812
20200,20200,3.28125000,3.19868279,0.003974460892,2020188000,2475.024262,2925.512811
20400,20400,3.17187500,3.19868279,0.003973452033,2040135536,2499.524051,2952.228360
20600,20600,3.15625000,3.19868279,0.003972423779,2060088080,2524.023656,2978.940602
20800,20800,3.29687500,3.19868279,0.003971376143,2080136964,2548.527210,3005.652927
21000,21000,3.15625000,3.19014257,0.003970309135,2100145912,2573.028386,3043.596965
21200,21200,3.23437500,3.19014257,0.003969222767,2120125004,2597.525951,3070.306919
21400,21400,3.21875000,3.19014257,0.003968117051,2140101836,2622.028406,3097.020677
21600,21600,3.21875000,3.19014257,0.003966992,2160063392,2646.529510,3123.736368
21800,21800,3.15625000,3.19014257,0.003965847625,2180087360,2671.034166,3150.454406
22000,22000,3.17187500,3.18554699,0.003964683939,2200159892,2695.536923,3188.372580
22200,22200,3.20312500,3.18554699,0.003963500954,2220165388,2720.037365,3215.086929
22400,22400,3.21875000,3.18554699,0.003962298684,2240212052,2744.539663,3241.799302
22600,22600,3.07812500,3.18554699,0.003961077142,2260306928,2769.041924,3268.510829
22800,22800,3.23437500,3.18554699,0.003959836342,2280271152,2793.542791,3295.220726
23000,23000,3.20312500,3.17784941,0.003958576295,2300241984,2818.046437,3333.093049
23200,23200,3.15625000,3.17784941,0.003957297018,2320278448,2842.552000,3359.815734
23400,23400,3.14062500,3.17784941,0.003955998523,2340266896,2867.054002,3386.531098
23600,23600,3.17187500,3.17784941,0.003954680824,2360207936,2891.553452,3413.244725
23800,23800,3.09375000,3.17784941,0.003953343937,2380170808,2916.053336,3439.958833
